race_id,url,table_index,table_type,row_count,assigned_parser,detector_score
462783,https://ca.milesplit.com/meets/251419-thunder-2-mile-2016/results/462783/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/251419-thunder-2-mile-2016/results/462783/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/251419-thunder-2-mile-2016/results/462783/formatted/"", waiting until ""domcontentloaded""
",0,error,
477017,https://ca.milesplit.com/meets/254065-mvl-meet-esparto-2016/results/477017/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/254065-mvl-meet-esparto-2016/results/477017/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/254065-mvl-meet-esparto-2016/results/477017/formatted/"", waiting until ""domcontentloaded""
",0,error,
472226,https://ca.milesplit.com/meets/245917-dana-hills-invitational-2016/results/472226/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/245917-dana-hills-invitational-2016/results/472226/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/245917-dana-hills-invitational-2016/results/472226/formatted/"", waiting until ""domcontentloaded""
",0,error,
467766,https://ca.milesplit.com/meets/248240-sanger-invitational-2016/results/467766/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/248240-sanger-invitational-2016/results/467766/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/248240-sanger-invitational-2016/results/467766/formatted/"", waiting until ""domcontentloaded""
",0,error,
488382,https://ca.milesplit.com/meets/256910-pacific-view-league-finals-2016/results/488382/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/256910-pacific-view-league-finals-2016/results/488382/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/256910-pacific-view-league-finals-2016/results/488382/formatted/"", waiting until ""domcontentloaded""
",0,error,
480531,https://ca.milesplit.com/meets/255089-marmonte-xc-meet-2-2016/results/480531/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/255089-marmonte-xc-meet-2-2016/results/480531/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/255089-marmonte-xc-meet-2-2016/results/480531/formatted/"", waiting until ""domcontentloaded""
",0,error,
472205,https://ca.milesplit.com/meets/245917-dana-hills-invitational-2016/results/472205/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/245917-dana-hills-invitational-2016/results/472205/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/245917-dana-hills-invitational-2016/results/472205/formatted/"", waiting until ""domcontentloaded""
",0,error,
479375,https://ca.milesplit.com/meets/254689-south-coast-preview-meet-2016/results/479375/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/254689-south-coast-preview-meet-2016/results/479375/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/254689-south-coast-preview-meet-2016/results/479375/formatted/"", waiting until ""domcontentloaded""
",0,error,
479374,https://ca.milesplit.com/meets/254689-south-coast-preview-meet-2016/results/479374/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/254689-south-coast-preview-meet-2016/results/479374/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/254689-south-coast-preview-meet-2016/results/479374/formatted/"", waiting until ""domcontentloaded""
",0,error,
489499,https://ca.milesplit.com/meets/248287-cif-central-coast-section-2016/results/489499/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/248287-cif-central-coast-section-2016/results/489499/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/248287-cif-central-coast-section-2016/results/489499/formatted/"", waiting until ""domcontentloaded""
",0,error,
489221,https://ca.milesplit.com/meets/257080-steele-canyon-grossmont-2016/results/489221/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/257080-steele-canyon-grossmont-2016/results/489221/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/257080-steele-canyon-grossmont-2016/results/489221/formatted/"", waiting until ""domcontentloaded""
",0,error,
463047,https://ca.milesplit.com/meets/248220-cool-breeze-evening-invitational-2016/results/463047/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/248220-cool-breeze-evening-invitational-2016/results/463047/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/248220-cool-breeze-evening-invitational-2016/results/463047/formatted/"", waiting until ""domcontentloaded""
",0,error,
475779,https://ca.milesplit.com/meets/245909-artichoke-invitational-2016/results/475779/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/245909-artichoke-invitational-2016/results/475779/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/245909-artichoke-invitational-2016/results/475779/formatted/"", waiting until ""domcontentloaded""
",0,error,
479408,https://ca.milesplit.com/meets/254694-foothill-north-dual-meet-2016/results/479408/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/254694-foothill-north-dual-meet-2016/results/479408/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/254694-foothill-north-dual-meet-2016/results/479408/formatted/"", waiting until ""domcontentloaded""
",0,error,
489938,https://ca.milesplit.com/meets/248292-cif-north-coast-section-championships-2016/results/489938/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/248292-cif-north-coast-section-championships-2016/results/489938/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/248292-cif-north-coast-section-championships-2016/results/489938/formatted/"", waiting until ""domcontentloaded""
",0,error,
462551,https://ca.milesplit.com/meets/248222-great-cow-run-2016/results/462551/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/248222-great-cow-run-2016/results/462551/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/248222-great-cow-run-2016/results/462551/formatted/"", waiting until ""domcontentloaded""
",0,error,
486946,https://ca.milesplit.com/meets/256150-contreras-vs-rfk-2016/results/486946/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/256150-contreras-vs-rfk-2016/results/486946/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/256150-contreras-vs-rfk-2016/results/486946/formatted/"", waiting until ""domcontentloaded""
",0,error,
477031,https://ca.milesplit.com/meets/254068-cal-center-meet-2-2016/results/477031/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/254068-cal-center-meet-2-2016/results/477031/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/254068-cal-center-meet-2-2016/results/477031/formatted/"", waiting until ""domcontentloaded""
",0,error,
466094,https://ca.milesplit.com/meets/251943-nevada-unionasics-cc-invitational-2016/results/466094/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/251943-nevada-unionasics-cc-invitational-2016/results/466094/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/251943-nevada-unionasics-cc-invitational-2016/results/466094/formatted/"", waiting until ""domcontentloaded""
",0,error,
474002,https://ca.milesplit.com/meets/253437-central-valley-california-league-cvcl-2-2016/results/474002/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/253437-central-valley-california-league-cvcl-2-2016/results/474002/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/253437-central-valley-california-league-cvcl-2-2016/results/474002/formatted/"", waiting until ""domcontentloaded""
",0,error,
489205,https://ca.milesplit.com/meets/257071-southern-league-finals-2016/results/489205/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/257071-southern-league-finals-2016/results/489205/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/257071-southern-league-finals-2016/results/489205/formatted/"", waiting until ""domcontentloaded""
",0,error,
